dimension,dimension_descripcion,indicador,indicador_codigo,descripcion,metodo,fuente,unidad
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Ingresos Totales,0,Ingresos Totales percibidos por el municipio en 1 año fiscal. El ingreso total corresponde con el presupuesto vigente por municipio.,Evolución del total de los ingresos disponibles que ha tenido el municipio en los últimos diez años. Se refleja en el presupuesto vigente del gobierno municipal en millones de bolivianos.,"Ministerio de Economía y Finanzas Públicas. Estadísticas de presupuesto y ejecución por entidad.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprEjecucionPresupuestaria",Millones de Bs.
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Presupuesto por habitante,1,Indica la relación entre el presupuesto vigente por la cantidad de habitantes del municipio. Se utilizan los datos presupuestarios del Ministerio de Economía y Finanzas y las estimaciones poblacionales del INE para el periodo 2012 - 2021.,PVH = Presupuesto Vigente año t / Población municipal año t,"Ministerio de Economía y Finanzas Públicas. Estadísticas de presupuesto y ejecución por entidad.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprEjecucionPresupuestaria
Instituto Nacional de Estadística - INE. BOLIVIA: PROYECCIONES DE POBLACIÓN, SEGÚN  DEPARTAMENTO Y MUNICIPIO, 2012-2022. 2021.
https://www.ine.gob.bo/index.php/censos-y-proyecciones-de-poblacion-sociales/ 
",En Bs.
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Presupuesto por Km2,3,Indica la relación entre el presupuesto vigente por la superficie municipal en km2. Se utilizan los datos presupuestarios del Ministerio de Economía y Finanzas y las estimaciones de la superficie municipal.,PVKm2 = Presupuesto Vigente año t / Superficie municipal,"Ministerio de Economía y Finanzas Públicas. Estadísticas de presupuesto y ejecución por entidad.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprEjecucionPresupuestaria
Estimaciones ONU-Hábitat sobre el área municipal medida en kilómetros cuadrados (Km2)",En Bs.
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Presupuesto por área urbana (Ha),6,Se presentan el presupuesto vigente por superficie de área urbana medida en Ha. Se utilizan los datos presupuestarios del Ministerio de Economía y Finanzas y las estimaciones del área urbana municipal.,PV/Ha= Presupuesto Vigente año t/Superficie urbana municipal,"Ministerio de Economía y Finanzas Públicas. Estadísticas de presupuesto y ejecución por entidad.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprEjecucionPresupuestaria
Estimaciones ONU-Hábitat sobre el área urbana municipal medida en hectáreas (Ha.)",En Bs.
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Autonomía financiera municipal,101,"Refleja el peso relativo de los ingresos propios en el total de ingresos corrientes. Esta es una medida del esfuerzo fiscal que hacen las administraciones al comparar las fuentes endógenas de ingresos como lo son los impuestos que genera autónomamente la entidad territorial, y mide la importancia de esta gestión tributaria frente a otras fuentes externas de financiamiento del gasto corriente. Este indicador es importante para valorar explícitamente el esfuerzo fiscal territorial.",Ingresos propios dividido entre los ingresos totales multiplicado por 100 IF = (Ingresos Propios/ Ingresos Totales) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Millones de Bs.
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Capacidad de Apalancamiento,103,"Relación entre los ingresos obtenidos mediante negociación con terceros (crédito externo, donación externa y donación interna, crédito interno) respecto de los ingresos totales del municipio.",AF=36000 Obtención de prestamos internos y de fondos - fideicomisos + 37000 Obtención de prestamos del exterior/IT,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Bs
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Esfuerzo Fiscal Tributario,104,Indica la relación entre los ingresos tributarios municipales respecto a las transferencias corrientes y las transferencias de capital. ,EFT=(13000 Ingresos Tributarios/19000 Transferencia Corrientes + 23000 Transferencias de Capital) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Bs
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Dependencia de las transferencias y las regalías,105,"La dependencia de las transferencias y las regalías mide la importancia que estos recursos tienen en relación con el total de fuentes de financiación. Es decir, indica el peso que tienen estos recursos en el total de ingresos y su magnitud refleja el grado en el cual las transferencias y regalías se convierten en los recursos fundamentales para financiar el desarrollo territorial. ",DTGN=(19000 Transferencias corrientes + 14000 Regalías + 23000 Transferencias de Capital/ Ingresos Totales) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Millones de Bs.
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Ingresos Basados en suelo respecto los ingresos propios,106,Ingresos del gobierno municipal por concepto de cobros basados en la propiedad inmueble en relación al sus ingresos propios,IBSP=(13310 Impuesto a la propiedad de Bienes Inmuebles + 13360 Impuesto Municipal a la Transferencia de Inmuebles/Ingresos Propios) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Bs
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Ingresos Basados en suelo respecto los ingresos totales,107,Ingresos del gobierno municipal por concepto de cobros basados en la propiedad inmueble en relación al total de ingresos .,IBSP=(13310 Impuesto a la propiedad de Bienes Inmuebles + 13360 Impuesto Municipal a la Transferencia de Inmuebles/Ingresos Totales) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Millones de Bs.
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Ingresos Basados en vehículos,108,Ingresos del gobierno municipal por concepto de cobros basados en la propiedad de vehículos en relación a los ingresos propios.,IBVP=(13330 Impuesto a la Propiedad de Vehículos + 13370 Impuesto Municipal a la Transferencia de Vehículos/Ingresos Propios) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Bs
Ingreso,"La dimensión de Ingreso, se refiere a los indicadores relacionados con la capacidad de generación y captación de recursos que tiene el gobierno autónomo municipal.",Variabilidad de Recursos Tributarios,109,Indica la variación porcentual de los ingresos tributarios en el año t respecto al año t-1.,VT=(13000 Ingresos por Impuestos^t - 13000 Ingresos por Impuestos ^t-1/13000 Ingresos por Impuestos^t-1)*100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Bs
Gasto,"La dimensión de Gasto, se refiere a los indicadores vinculados con la capacidad de aplicación o ejecución de los recursos que dispone el gobierno municipal.",Nivel de ejecución presupuestaria,201,El nivel de ejecución presupuestaria indica el porcentaje del presupuesto aprobado que ha sido ejecutado en una gestión específica. Se obtiene a través del cociente entre el devengado y el presupuesto vigente.,Se obtiene a través del cociente entre el devengado y el presupuesto aprobado multiplicado por 100.  EP=(Devengado/Presupuesto Aprobado) * 100,"Ministerio de Economía y Finanzas Públicas. Estadísticas de presupuesto y ejecución por entidad.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprEjecucionPresupuestaria",Bs
Gasto,"La dimensión de Gasto, se refiere a los indicadores vinculados con la capacidad de aplicación o ejecución de los recursos que dispone el gobierno municipal.",Presupuesto Ejecutado por habitante,2,Indica la relación entre el presupuesto ejecutado por la cantidad de habitantes del municipio. Se utilizan los datos presupuestarios del Ministerio de Economía y Finanzas y las estimaciones poblacionales del INE para el periodo 2012 - 2021.,PEH = Presupuesto Ejecutado año t / Población municipal año t,"Ministerio de Economía y Finanzas Públicas. Estadísticas de presupuesto y ejecución por entidad.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprEjecucionPresupuestaria
Instituto Nacional de Estadística - INE. BOLIVIA: PROYECCIONES DE POBLACIÓN, SEGÚN  DEPARTAMENTO Y MUNICIPIO, 2012-2022. 2021.
https://www.ine.gob.bo/index.php/censos-y-proyecciones-de-poblacion-sociales/ 
",Habitantes
Gasto,"La dimensión de Gasto, se refiere a los indicadores vinculados con la capacidad de aplicación o ejecución de los recursos que dispone el gobierno municipal.",Presupuesto ejecutado por Km2,4,Indica la relación entre el ejecutado y la superficie municipal en km2. Se utilizan los datos presupuestarios del Ministerio de Economía y Finanzas y las estimaciones de la superficie municipal.,PEKm2=Presupuesto Ejecutado año t/Superficie municipal,"Ministerio de Economía y Finanzas Públicas. Estadísticas de presupuesto y ejecución por entidad.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprEjecucionPresupuestaria
Estimaciones ONU-Hábitat sobre el área municipal medida en kilómetros cuadrados (Km2)",En Bs.
Gasto,"La dimensión de Gasto, se refiere a los indicadores vinculados con la capacidad de aplicación o ejecución de los recursos que dispone el gobierno municipal.",Presupuesto ejecutado  por área urbana (Ha),5,Se presentan el presupuesto ejecutado por superficie de área urbana medida en Ha. Se utilizan los datos presupuestarios del Ministerio de Economía y Finanzas y las estimaciones del área urbana municipal.,PE/Ha=Presupuesto Ejecutado año t/Superficie urbana municipal ,"Ministerio de Economía y Finanzas Públicas. Estadísticas de presupuesto y ejecución por entidad.
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprEjecucionPresupuestaria
Estimaciones ONU-Hábitat sobre el área urbana municipal medida en hectáreas (Ha.)",En Bs.
Gasto,"La dimensión de Gasto, se refiere a los indicadores vinculados con la capacidad de aplicación o ejecución de los recursos que dispone el gobierno municipal.",% Gastos de Funcionamiento,202,Indica el porcentaje del presupuesto de gastos destinado a los gastos de funcionamiento.,%GF=(Gasto Corriente - Funcionamiento y Otros/Gasto Total (sin considerar Partidas no asignables a programas)) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de actividades y proyectos por programas de gasto (Gastos sin proyectos de inversión y Gastos Totales).
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2012-2021",Bs
Gasto,"La dimensión de Gasto, se refiere a los indicadores vinculados con la capacidad de aplicación o ejecución de los recursos que dispone el gobierno municipal.",% Gastos en Proyectos de Inversión,203,Indica el porcentaje del presupuesto de gastos destinado a los gastos en proyectos de inversión.,%PI=(Gasto en Proyectos de Inversión/Gasto Total (sin considerar Partidas no asignables a programas)) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de actividades y proyectos por programas de gasto (Proyectos de Inversión y Gastos Totales).
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2012-2021",Bs
Gasto,"La dimensión de Gasto, se refiere a los indicadores vinculados con la capacidad de aplicación o ejecución de los recursos que dispone el gobierno municipal.",Autofinanciación de gastos de funcionamiento,204,El indicador expresa el porcentaje de gastos de funcionamiento que representan los recursos propios generados por el municipio.,AGF=(Ingresos Propios/Gastos de funcionamiento) * 100,"Ministerio de Economía y Finanzas Públicas. Presupuesto Agregado de Recursos por Rubro;  Presupuesto Agregado de actividades y proyectos por programas de gasto (Gastos sin proyectos de inversión).
https://sigep.sigma.gob.bo/sigep_publico/faces/SFprRepPub?gestion=2016-2021",Bs
Transparencia Institucional,"La capacidad institucional, se refiere a la realización efectiva de los procesos que implican las dimensiones anteriores y el acceso de la población a los mismos.",N° Elementos presentes en la pagina web,301,"Es un indicador que evalúa la información disponible para la población en los portales web de los gobiernos municipales. Se consideran los siguientes 10 elementos: 1. Gastos e ingresos, 2. Salarios de ejecutivos, 3. Organigrama, 4. Copias de contratos y licitaciones, 5. Acceso a estadísticas, 6. Noticias públicas, resoluciones, 7. Quejas, preocupaciones y emergencias, 8. resultados de las elecciones locales, 9. información impositiva y, 10. procedimientos de licitaciones abiertas. La puntuación considera 100 puntos si se encuentran los 10 elementos disponibles, y 0 puntos si no se tiene ningún elemento o no se tiene una pagina web. El cálculo del indicador para los aglomerados (sistema de ciudades, áreas metropolitanas, municipios capitales de departamento, etc.) se realiza a partir del promedio del N° de elementos web de los municipios que conforman el aglomerado.",AIP= 100 * (N° Elementos presentes en la pagina web/10),ONU-Hábitat Bolivia. Información Web GAM's.,No.
Transparencia Institucional,"La capacidad institucional, se refiere a la realización efectiva de los procesos que implican las dimensiones anteriores y el acceso de la población a los mismos.",Acceso a información pública,302,"Es un indicador que evalúa la información disponible para la población en los portales web de los gobiernos municipales. Se consideran los siguientes 10 elementos: 1. Gastos e ingresos, 2. Salarios de ejecutivos, 3. Organigrama, 4. Copias de contratos y licitaciones, 5. Acceso a estadísticas, 6. Noticias públicas, resoluciones, 7. Quejas, preocupaciones y emergencias, 8. resultados de las elecciones locales, 9. información impositiva y, 10. procedimientos de licitaciones abiertas. La puntuación considera 100 puntos si se encuentran los 10 elementos disponibles, y 0 puntos si no se tiene ningún elemento o no se tiene una pagina web. El cálculo del indicador para los aglomerados (sistema de ciudades, áreas metropolitanas, municipios capitales de departamento, etc.) se realiza a partir del promedio del N° de elementos web de los municipios que conforman el aglomerado.",AIP= 100 * (N° Elementos presentes en la pagina web/10),ONU-Hábitat Bolivia. Información Web GAM's.,
